  POSITIVE CONTROL  a hash()-seeded script is NON-identical across runs: True  PASS
  g=0               a crc32-seeded script IS identical across runs: True  PASS
    Both arms are required. A differ that answers 'different' to everything passes
    the first arm alone, and that is the shape this suite keeps rebuilding.

  round       runs  identical   note
  R243      [0, 0]  False       43e452dcd95d vs 34d94b224ffe
  R301      [0, 0]  True        ee35b52d7994 vs ee35b52d7994
  R331      [0, 0]  True        2ed6be26b7df vs 2ed6be26b7df
  R347      [0, 0]  True        2a9d5469a3b0 vs 2a9d5469a3b0
  R355      [0, 0]  True        f477a16a6b92 vs f477a16a6b92
  R360      [1, 1]  True        6bbfb1bb25a5 vs 6bbfb1bb25a5
  R366      [0, 0]  True        8cd89aa819ad vs 8cd89aa819ad
  R398      [0, 0]  True        a37287a65b05 vs a37287a65b05
  R415      [0, 0]  True        d80d04eba3d3 vs d80d04eba3d3
  R430      [0, 0]  True        ad8971ee57e9 vs ad8971ee57e9
  R434      [2, 2]  True        947b35e52abf vs 947b35e52abf
  R436      [1, 1]  True        28fabeff9ab7 vs 28fabeff9ab7
  R440      [0, 0]  True        9dfd49cd1fac vs 9dfd49cd1fac
  R444      [2, 2]  True        cefedb36807f vs cefedb36807f
  R452      [0, 0]  True        4448eb3f6467 vs 4448eb3f6467
  R460      [0, 0]  True        8792e0608eb7 vs 8792e0608eb7
  R470      [0, 0]  True        bcaf1b16e802 vs bcaf1b16e802
  R478      [0, 0]  True        a1863ab2fd4e vs a1863ab2fd4e
  R485      [0, 0]  True        db443c4ea3ab vs db443c4ea3ab
