old_path	new_path	note
E02_the_plural_public_dissolved/A01_structured_plurality_or_reliability/R23_actor_vs_dyad	E02_the_plural_public_dissolved/A04_structured_plurality_or_reliability/R23_actor_vs_dyad	arc renumbered
E02_the_plural_public_dissolved/A01_structured_plurality_or_reliability/R24_regime_receipt	E02_the_plural_public_dissolved/A04_structured_plurality_or_reliability/R24_regime_receipt	arc renumbered
E02_the_plural_public_dissolved/A01_structured_plurality_or_reliability/R25_actor_dyad_sweep	E02_the_plural_public_dissolved/A04_structured_plurality_or_reliability/R25_actor_dyad_sweep	arc renumbered
E02_the_plural_public_dissolved/A01_structured_plurality_or_reliability/R26_sign_no_split	E02_the_plural_public_dissolved/A04_structured_plurality_or_reliability/R26_sign_no_split	arc renumbered
E02_the_plural_public_dissolved/A01_structured_plurality_or_reliability/R27_raw_negative_tail	E02_the_plural_public_dissolved/A04_structured_plurality_or_reliability/R27_raw_negative_tail	arc renumbered
E02_the_plural_public_dissolved/A01_structured_plurality_or_reliability/R28_multiplicative	E02_the_plural_public_dissolved/A04_structured_plurality_or_reliability/R28_multiplicative	arc renumbered
E02_the_plural_public_dissolved/A01_structured_plurality_or_reliability/R29_gold_ood	E02_the_plural_public_dissolved/A04_structured_plurality_or_reliability/R29_gold_ood	arc renumbered
E02_the_plural_public_dissolved/A01_structured_plurality_or_reliability/R30_scope_grid	E02_the_plural_public_dissolved/A04_structured_plurality_or_reliability/R30_scope_grid	arc renumbered
E02_the_plural_public_dissolved/A01_structured_plurality_or_reliability/R31_within_person	E02_the_plural_public_dissolved/A04_structured_plurality_or_reliability/R31_within_person	arc renumbered
E02_the_plural_public_dissolved/A01_structured_plurality_or_reliability/R32_channel_decomposition	E02_the_plural_public_dissolved/A04_structured_plurality_or_reliability/R32_channel_decomposition	arc renumbered
E02_the_plural_public_dissolved/A02_what_coval_core_mechanically_is/R33_core_launders_polarity	E02_the_plural_public_dissolved/A05_what_coval_core_mechanically_is/R33_core_launders_polarity	arc renumbered
E02_the_plural_public_dissolved/A02_what_coval_core_mechanically_is/R34_global_rater_crossfit	E02_the_plural_public_dissolved/A05_what_coval_core_mechanically_is/R34_global_rater_crossfit	arc renumbered
E02_the_plural_public_dissolved/A02_what_coval_core_mechanically_is/R35_polarity_abstention	E02_the_plural_public_dissolved/A05_what_coval_core_mechanically_is/R35_polarity_abstention	arc renumbered
E02_the_plural_public_dissolved/A02_what_coval_core_mechanically_is/R36_channel_shapley	E02_the_plural_public_dissolved/A05_what_coval_core_mechanically_is/R36_channel_shapley	arc renumbered
E02_the_plural_public_dissolved/A02_what_coval_core_mechanically_is/R37_leakage_topology	E02_the_plural_public_dissolved/A05_what_coval_core_mechanically_is/R37_leakage_topology	arc renumbered
E02_the_plural_public_dissolved/A03_does_the_protocol_have_the_power_it_needs/R38_human_sampling_power	E02_the_plural_public_dissolved/A06_does_the_protocol_have_the_power_it_needs/R38_human_sampling_power	arc renumbered
E02_the_plural_public_dissolved/A03_does_the_protocol_have_the_power_it_needs/R39_feature_cache	E02_the_plural_public_dissolved/A06_does_the_protocol_have_the_power_it_needs/R39_feature_cache	arc renumbered
E02_the_plural_public_dissolved/A03_does_the_protocol_have_the_power_it_needs/R40_ood_map	E02_the_plural_public_dissolved/A06_does_the_protocol_have_the_power_it_needs/R40_ood_map	arc renumbered
E02_the_plural_public_dissolved/A03_does_the_protocol_have_the_power_it_needs/R41_criterion_support	E02_the_plural_public_dissolved/A06_does_the_protocol_have_the_power_it_needs/R41_criterion_support	arc renumbered
E02_the_plural_public_dissolved/A03_does_the_protocol_have_the_power_it_needs/R42_equivalence	E02_the_plural_public_dissolved/A06_does_the_protocol_have_the_power_it_needs/R42_equivalence	arc renumbered
E02_the_plural_public_dissolved/A03_does_the_protocol_have_the_power_it_needs/R43_criterion_heterogeneity	E02_the_plural_public_dissolved/A06_does_the_protocol_have_the_power_it_needs/R43_criterion_heterogeneity	arc renumbered
E02_the_plural_public_dissolved/A03_does_the_protocol_have_the_power_it_needs/R44_compiler_lineage	E02_the_plural_public_dissolved/A06_does_the_protocol_have_the_power_it_needs/R44_compiler_lineage	arc renumbered
E02_the_plural_public_dissolved/A03_does_the_protocol_have_the_power_it_needs/R45_protocol_freeze	E02_the_plural_public_dissolved/A06_does_the_protocol_have_the_power_it_needs/R45_protocol_freeze	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R46_spread_replication	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R46_spread_replication	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R47_gold_is_length	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R47_gold_is_length	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R48_provenance_identified	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R48_provenance_identified	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R49_provenance_crossfit	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R49_provenance_crossfit	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R50_response_anchoring	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R50_response_anchoring	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R51_judge_lexical	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R51_judge_lexical	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R52_overlap_intervention	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R52_overlap_intervention	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R53_join_audit	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R53_join_audit	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R54_overlap_transfer	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R54_overlap_transfer	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R55_overlap_selectivity	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R55_overlap_selectivity	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R56_semantic_selectivity	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R56_semantic_selectivity	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R57_outcome_reliability	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R57_outcome_reliability	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R58_equivalence_census	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R58_equivalence_census	arc renumbered
E03_the_instrument_was_the_object/A01_can_a_local_judge_be_an_instrument/R59_criterion_influence	E03_the_instrument_was_the_object/A07_can_a_local_judge_be_an_instrument/R59_criterion_influence	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R60_world_vs_personal	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R60_world_vs_personal	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R61_s_pre_power	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R61_s_pre_power	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R62_matching_floor	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R62_matching_floor	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R63_r60_projection_audit	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R63_r60_projection_audit	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R64_satisfaction_substudy_power	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R64_satisfaction_substudy_power	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R65_edit_symmetry_floor	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R65_edit_symmetry_floor	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R66_r56_reconstruction	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R66_r56_reconstruction	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R67_predictor_reliability	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R67_predictor_reliability	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R68_r40_predictor_reliability	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R68_r40_predictor_reliability	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R69_r54_predictor_reliability	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R69_r54_predictor_reliability	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R70_outcome_criterion_axis	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R70_outcome_criterion_axis	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R71_r67_split_variance	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R71_r67_split_variance	arc renumbered
E03_the_instrument_was_the_object/A02_what_floor_each_counterfactual_requires/R72_proxy_validity_coefficient	E03_the_instrument_was_the_object/A08_what_floor_each_counterfactual_requires/R72_proxy_validity_coefficient	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R73_direction_from_text_alone	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R73_direction_from_text_alone	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R74_specificity_vs_exposure	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R74_specificity_vs_exposure	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R75_menu_read_direction	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R75_menu_read_direction	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R76_absence_cannot_overlap	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R76_absence_cannot_overlap	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R77_topicality_control	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R77_topicality_control	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R78_tokeniser_robustness	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R78_tokeniser_robustness	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R79_semantic_menu_read	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R79_semantic_menu_read	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R80_panel_freeze	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R80_panel_freeze	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R81_stated_signal_by_length	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R81_stated_signal_by_length	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R82_scale_use_by_provenance	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R82_scale_use_by_provenance	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R83_low_magnitude_drop	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R83_low_magnitude_drop	arc renumbered
E03_the_instrument_was_the_object/A03_can_direction_be_read_from_text_alone/R84_core_polarity_in_words	E03_the_instrument_was_the_object/A09_can_direction_be_read_from_text_alone/R84_core_polarity_in_words	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R85_agreement_by_form	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R85_agreement_by_form	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R86_attribution_by_form	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R86_attribution_by_form	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R87_criterion_count_channel	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R87_criterion_count_channel	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R88_donor_draw_variance	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R88_donor_draw_variance	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R89_floor_draw_at_panel_size	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R89_floor_draw_at_panel_size	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R90_resampling_unit	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R90_resampling_unit	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R91_precision_budget	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R91_precision_budget	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R92_writein_analysability	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R92_writein_analysability	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R93_clustering_unit_transfers	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R93_clustering_unit_transfers	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R94_donor_averaging_at_frame_size	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R94_donor_averaging_at_frame_size	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R95_layer_separability	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R95_layer_separability	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R96_separability_resolved	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R96_separability_resolved	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R97_rule_tournament_tost	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R97_rule_tournament_tost	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R98_unverified_triage	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R98_unverified_triage	arc renumbered
E03_the_instrument_was_the_object/A04_what_the_resampling_unit_is/R99_harvester_pairing	E03_the_instrument_was_the_object/A10_what_the_resampling_unit_is/R99_harvester_pairing	arc renumbered
E03_the_instrument_was_the_object/A05_how_wide_every_interval_really_is/R100_rater_reliability	E03_the_instrument_was_the_object/A11_how_wide_every_interval_really_is/R100_rater_reliability	arc renumbered
E03_the_instrument_was_the_object/A05_how_wide_every_interval_really_is/R101_reliability_offset	E03_the_instrument_was_the_object/A11_how_wide_every_interval_really_is/R101_reliability_offset	arc renumbered
E03_the_instrument_was_the_object/A05_how_wide_every_interval_really_is/R102_margin_calibration	E03_the_instrument_was_the_object/A11_how_wide_every_interval_really_is/R102_margin_calibration	arc renumbered
E03_the_instrument_was_the_object/A05_how_wide_every_interval_really_is/R103_consensus_conditioned	E03_the_instrument_was_the_object/A11_how_wide_every_interval_really_is/R103_consensus_conditioned	arc renumbered
E03_the_instrument_was_the_object/A05_how_wide_every_interval_really_is/R104_deattenuated_consensus	E03_the_instrument_was_the_object/A11_how_wide_every_interval_really_is/R104_deattenuated_consensus	arc renumbered
E03_the_instrument_was_the_object/A05_how_wide_every_interval_really_is/R105_specific_share_invariance	E03_the_instrument_was_the_object/A11_how_wide_every_interval_really_is/R105_specific_share_invariance	arc renumbered
