source_key,round,claim_id,licensed_claim,limitation,instrument_free,control_saturated,held_out,replication_breadth_0_3,prior_art_in_card,d_level
sessiondirectcount20260730,session-direct-count-2026-07-30,C9,"Counted straight off data/conversation_rubrics.jsonl; no model, no inference.",instrument-free,1,0,0,0,0,9
sessiondirectcount20260730,session-direct-count-2026-07-30,C10,"Text inspection confirms the class: 'Take an explicit position on whether Chile should expand or restrict access to abortion' (-5.23, n=13) is a contested stance, not a harm.",instrument-free,1,0,0,0,0,8
independentdesignaseed8101,independent-design-A-seed-8101,C15,"A third estimand again: ratio of |corr(neg-component, core)| to |corr(pos-component, core)| = 0.20 [0.150, 0.249]. Size-matched subsample 0.235 (5 seeds, sd 0.002); split-half reliability correction (rel_pos 0.86, rel_neg 0.69) 0.222 -- both controls move the estimate UP, not down. r_pos +0.892, r_neg -0.178 [-0.222,-0.133]. The three designs return 0.094 / 0.094 / 0.20 because they estimate different quantities; the direction, not the magnitude, is what replicates.",conditional on the rebuilt 2B judge,0,0,0,2,1,8
independentdesignbseed4409,independent-design-B-seed-4409,C15,"Independent estimand, independent code, seed 4409: ratio 0.094 [0.073, 0.114], beta_pos 1.124. Synthetic placebo recovers planted (0.7,0.2) as (0.701,0.201) and (0.7,0.0) as (0.697,0.001).",conditional on the rebuilt 2B judge,0,0,0,2,1,8
r124myowndecomposition,r124-my-own-decomposition,C15,"beta_pos=+1.1253 (se 0.0093, t=121.3), beta_neg=+0.1067 (se 0.0077, t=13.8), R^2=0.8056 over 924 prompts / 3,696 units; corr(components)=+0.0877. Placebo: decomposing full's own positive arm returns exactly (1.0000, -0.0000).",conditional on the rebuilt 2B judge,0,0,0,2,1,8
independentdesignaseed8101,independent-design-A-seed-8101,C17,"Exact decomposition: total(signed-core)=+0.0256, sign(signed-uniform)=+0.0919, compile(uniform-core)=-0.0663. Sham permuting which criterion gets which sign, magnitudes fixed, 500 reps: observed sits ~23 sd outside.",conditional on the rebuilt 2B judge,0,0,0,2,0,8
independentdesignbseed4409,independent-design-B-seed-4409,C17,"Five treatments: UNWT 0.590, SIGNED 0.683, DROP 0.648, FLIP 0.678, MAGSHAM 0.601. SIGNED-MAGSHAM=+0.082 [+0.072,+0.091] isolates the sign from the weighting. Dose response across quartiles of a prompt's negative share: +0.044 -> +0.147.",conditional on the rebuilt 2B judge,0,0,0,2,0,8
r127arms,r127-arms,C17,"full sign-ignored 0.5941 [0.5827,0.6051]; full all-negatives-flipped 0.6806 [0.6709,0.6901]; core 0.6604 [0.6502,0.6706]; 80,542 pooled human ordered pairs.",conditional on the rebuilt 2B judge,0,0,0,2,0,8
independentdesignaseed8101,independent-design-A-seed-8101,C18,"posonly 0.6606 vs core 0.6604, difference +0.0003 [-0.006,+0.007], p=0.92 on pooled concordance and p=0.71 on per-prompt Spearman. FLAGGED BY ITS OWN AUTHOR AS POST-HOC AND EXPLORATORY, outside the corrected family. One design, one seed, not replicated.",conditional on the rebuilt 2B judge,0,0,0,2,1,5
independentdesignaseed8101ne,independent-design-A-seed-8101-negation-markers,C18,"Negation markers appear in 13.0% of negatively-rated full criteria against 12.8% of positive ones, so core is not reaching the same place by rephrasing them as prohibitions.",conditional on the rebuilt 2B judge,0,0,0,2,1,6
r127whosesign,r127-whose-sign,C19,"SINGLE k=2975 gain +0.06394 (+0.0215/1k, z=-5.58); STABLE k=336 +0.01665 (+0.0496/1k, z=+4.03); MIDDLE k=75 (+0.0419/1k, z=+1.15); UNSTABLE k=444 (+0.0340/1k, z=+2.14). Positive control flip-all vs flip-none +0.08644 [+0.07711,+0.09586]. Placebo flipping the empty set reproduces the unflipped arm at |diff|=0.00e+00.",conditional on the rebuilt 2B judge,0,1,0,0,0,6
sessiondirectcheck20260730,session-direct-check-2026-07-30,C21,"Three attacks run against the object, three failures: ' Yes'->[7179] / ' No'->[2233] single and distinct; max prompt 537 tokens against a 1024 cap; 6 of 3,872 replies over the 1400-character cut. Each is an acquittal of the CODE and of nothing else.",conditional on the rebuilt 2B judge,0,0,0,0,0,8
independentdesignaseed8101,independent-design-A-seed-8101,C42,"Sign-convention check: flipped 61.0% [0.599,0.622] vs unflipped 39.0% against chance 50%.",conditional on the rebuilt 2B judge,0,0,0,1,0,8
sessiontextinspection2026073,session-text-inspection-2026-07-30,C42,20 randomly drawn negatively-rated criteria read directly; none is phrased as a prohibition. Independently corroborated: negation markers appear at 13.0% in negative criteria against 12.8% in positive ones.,instrument-free,1,0,0,1,0,7
independentdesignaseed8101,independent-design-A-seed-8101,C43,"b1 std 0.861, b2 std 0.084, dominance ratio 0.097; high-dispersion tertile b2 = 0.122 [0.075,0.168], larger where weights actually vary. Length covariate moves b2 by 0.0002. Author disclosed that its 0.30 dominance bar was chosen post-hoc after both terms cleared significance -- the ratio 0.097 is far from any defensible co-equal line, but the threshold itself was not pre-registered.",conditional on the rebuilt 2B judge,0,0,0,1,1,6
independentdesignbseed4409,independent-design-B-seed-4409,C44,Measured while diagnosing its own FAILED positive control: a synthetic core built 100% from the weighted formula returned delta = +0.036 against a pre-registered bar of 0.15. The design returned UNVERIFIED rather than reporting the near-zero as a null.,conditional on the rebuilt 2B judge,0,0,0,1,0,8
independentdesignaseed8101,independent-design-A-seed-8101,C46,"core 0.6563; top-importance-4 0.6589 (delta -0.26pp, perm p 0.575 Holm 1.0); mechanical-4 0.6587 (delta -0.24pp, p 0.627); random-4 0.6422 (delta +1.40pp, Holm 0.0006); all-full 0.6769; placebo 0.5006. Its CV search for the best mechanical rule converged on alpha ~ 1.0 in 40 of 50 folds -- inter-rater agreement adds nothing beyond raw importance magnitude.",conditional on the rebuilt 2B judge,0,0,0,2,1,7
independentdesignbseed4409,independent-design-B-seed-4409,C46,"core 0.6563 (identical to design A to four decimals, on an independently written harness); top-importance-4 0.65998 (delta -0.37pp, Holm 0.42); random-4 +1.38pp; mechanical-4 +1.98pp (Holm 0.0012); worst-importance-4 +5.10pp. Diverges from design A on mechanical-4 -- distinguishable there, not here -- because the two built different mechanical rules. Unoriented sensitivity: top-4 without the free sign information falls to 0.5606, 9.6pp BELOW core.",conditional on the rebuilt 2B judge,0,0,0,2,1,7
independentdesignk18aseed810,independent-design-K18-A-seed-8101,C74,"Within-arm criterion-level rho = -0.036 (n=14,984), partial rho = -0.052 controlling a hedge/conjunction/comma density proxy for content complexity.",conditional on the rebuilt 2B judge,0,0,0,2,0,8
independentdesignk18bseed440,independent-design-K18-B-seed-4409,C74,"Per-instance rho = -0.037 (n=18,811), reached independently and independently diagnosed as an arm-level artefact of the project's wider battery of arms.",conditional on the rebuilt 2B judge,0,0,0,2,0,8
