claim_id,claim,status,d_level,source_keys,shared_limitation
C9,"Of coval_full's 15,248 rated criteria, 63.5% carry exactly one rating and 34.0% carry ten or more; 0.2% lie between. Among the 3,905 negatively-rated criteria, 77.2% are single-rater, against 58.8% of the positive ones.",settled,9,sessiondirectcount20260730,"Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C10,"Among the 890 negatively-rated criteria with at least three raters, 99.1% have at least one rater on the positive side, the median share of positive raters is 38.5%, and 47.9% have at least 40% of raters positive. Bootstrapping the rater set, 18.9% of the n>=10 criteria flip sign in more than 10% of resamples.",settled,8,sessiondirectcount20260730,"Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C15,"Regressing core's within-prompt-centred response score on full's positive and sign-flipped negative components gives beta_neg/beta_pos = 0.094 (95% CI [0.073, 0.114]). A faithful summary weighting each polarity block by its share of the input would give 0.362. Core therefore carries the negatively-rated quarter at roughly a quarter of proportional weight and a tenth of the positive block's weight.",settled,8,independentdesignaseed8101;independentdesignbseed4409;r124myowndecomposition,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Stated in the release's own DATASET_CARD: this is a verification that the documented method does what it documents, not a finding. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C17,Whether coval_full beats coval_core at reproducing human world rankings is decided by how the analyst treats the 25.6% of criteria carrying negative ratings. Sign-ignored: core wins. Sign-corrected: full wins. Both are true statements about the same release.,settled,8,independentdesignaseed8101;independentdesignbseed4409;r127arms,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C18,coval_core's concordance is statistically indistinguishable from simply deleting every negatively-rated criterion from coval_full and averaging what remains.,partial,6,independentdesignaseed8101;independentdesignaseed8101ne,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Stated in the release's own DATASET_CARD: this is a verification that the documented method does what it documents, not a finding. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C19,"Per criterion flipped, the concordance gained from a negative sign is monotone in the evidential basis of that sign: multi-rater and bootstrap-stable 0.0496 per 1000, middle 0.0419, unstable 0.0340, single-rater 0.0215. Single-rater signs fall BELOW a count-matched draw from the whole negative pool (z=-5.58); stable ones sit above it (z=+4.03).",partial,6,r127whosesign,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C21,"Three implementation-level attacks on the satisfaction judge -- wrong Yes/No token ids, right-truncation cutting the read position, and the 1400-character reply cut -- were run against the object and all three failed. This clears the judge's CODE. It says nothing about the judge's BEHAVIOUR, which no second judge has ever cross-checked.",settled,8,sessiondirectcheck20260730,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C42,"The premise all three K1 designs share -- that a negative mean rating means satisfying the criterion is bad, so satisfaction should be read as 1-v -- was tested rather than assumed. Scoring responses on negatively-rated criteria FLIPPED predicts held-out human world rankings at 61.0%; UNFLIPPED at 39.0%. Text inspection agrees: the negatively-rated criteria are affirmative descriptions of a behaviour ('Invents fake sources', 'Use a violent tone'), not prohibitions, so high satisfaction means the response did the thing.",settled,8,independentdesignaseed8101;sessiontextinspection2026073,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C43,"Regressing core's within-prompt-centred score on full's flat average and on the part of full's importance-weighted average orthogonal to it gives b1 = 0.861 [0.848, 0.872] and b2 = 0.084 [0.055, 0.112] in standardised units: core is overwhelmingly a flat summary with a statistically real but structurally minor weighted component, 62% of the ceiling the noise level permits. Compilation discards most of the importance structure, not all.",partial,7,independentdesignaseed8101,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Stated in the release's own DATASET_CARD: this is a verification that the documented method does what it documents, not a finding. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C44,"Across a prompt's four responses, the importance-weighted and the equal-weight summaries of coval_full correlate at mean r = 0.957, median 0.992, p10 0.902. Averaging over ~15 criteria washes out almost everything the -10..+10 magnitudes could change, so any design that asks 'does core behave weighted or unweighted' by comparing response-level aggregates is near-unidentifiable before it starts.",settled,8,independentdesignbseed4409,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
